,1st,2nd,3rd,Events,Name,Average Score,Rounds,Total Adjustment,Total Strokes,Average Drive,Driving Percentage,Fairways Hit,Possible Fairways,Greens Percentage,SG: Tee-to-Green,SG: Total,SG: Putting,Scrambling %
66,1.0,0.0,0.0,10.0,Sergio Garcia,69.304,39.0,-13.068,2508.0,299.6,65.28,329.0,504.0,70.68,1.773,1.382,-0.391,63.16
67,0.0,0.0,0.0,16.0,Brian Gay,70.659,54.0,10.576,3805.0,278.2,65.07,490.0,753.0,63.37,-0.185,0.434,0.62,61.8
68,1.0,0.0,0.0,20.0,Cody Gribble,71.448,59.0,21.51,4051.0,296.3,55.69,445.0,799.0,63.45,-0.784,-0.23,0.554,55.47
69,0.0,0.0,0.0,16.0,Emiliano Grillo,70.72,62.0,-0.494,4173.0,292.7,65.13,538.0,826.0,66.85,0.817,0.839,0.021,59.09
70,0.0,0.0,1.0,15.0,Bill Haas,70.153,57.0,1.66,3506.0,289.0,57.61,401.0,696.0,69.56,0.909,0.94,0.031,64.23
71,0.0,0.0,1.0,18.0,Jim Herman,70.833,57.0,12.829,3883.0,290.2,69.31,533.0,769.0,70.81,0.674,0.703,0.029,55.36
72,1.0,0.0,0.0,22.0,Mackenzie Hughes,71.408,72.0,14.562,4984.0,288.6,60.63,596.0,983.0,66.11,-0.488,0.138,0.626,58.78
73,0.0,0.0,0.0,20.0,John Huh,70.691,70.0,21.346,4927.0,286.4,64.14,626.0,976.0,66.11,0.387,0.483,0.096,66.51
74,0.0,0.0,0.0,14.0,Zach Johnson,70.882,49.0,-11.306,3201.0,286.5,68.25,430.0,630.0,62.35,0.19,0.415,0.224,60.98
75,0.0,1.0,0.0,23.0,Sung Kang,70.549,75.0,9.106,5141.0,294.6,59.96,611.0,1019.0,66.97,0.484,0.628,0.143,59.45
76,0.0,1.0,0.0,19.0,Whee Kim,70.689,55.0,18.502,3728.0,290.1,54.46,403.0,740.0,63.63,-0.228,0.14,0.368,62.82
77,1.0,0.0,0.0,21.0,Si Woo Kim,72.898,53.0,-3.88,3503.0,283.4,54.45,367.0,674.0,58.45,-0.913,-1.289,-0.376,55.43
78,0.0,1.0,0.0,19.0,Patton Kizzire,71.929,56.0,8.292,3732.0,289.5,48.62,353.0,726.0,60.79,-0.835,-0.635,0.201,54.22
79,0.0,1.0,1.0,19.0,Kelly Kraft,71.72,51.0,8.854,3362.0,290.5,57.73,377.0,653.0,64.07,-0.551,-0.762,-0.211,51.97
80,0.0,1.0,1.0,14.0,Anirban Lahiri,70.825,46.0,9.953,3248.0,293.5,58.23,375.0,644.0,63.65,0.108,-0.213,-0.321,55.81
81,0.0,0.0,0.0,22.0,Danny Lee,71.084,68.0,7.369,4542.0,290.4,62.11,554.0,892.0,64.84,0.038,0.37,0.332,56.79
82,0.0,0.0,1.0,16.0,Ryan Moore,70.908,57.0,-2.945,3832.0,286.2,67.59,511.0,756.0,64.71,0.213,0.382,0.169,57.43
83,0.0,1.0,1.0,11.0,Louis Oosthuizen,70.221,43.0,-16.057,2544.0,293.7,63.29,319.0,504.0,66.98,1.151,1.578,0.427,64.02
84,0.0,0.0,0.0,14.0,Ryan Palmer,70.829,45.0,-9.993,2914.0,300.3,55.5,318.0,573.0,65.31,1.104,0.238,-0.866,57.81
85,0.0,1.0,0.0,21.0,C.T. Pan,71.51,60.0,11.566,4136.0,284.7,61.68,499.0,809.0,66.57,-0.202,-0.31,-0.108,58.45
86,0.0,0.0,0.0,19.0,Patrick Rodgers,71.799,50.0,3.343,3443.0,302.5,51.34,344.0,670.0,66.44,-0.77,-1.041,-0.272,51.38
87,0.0,1.0,0.0,18.0,Webb Simpson,70.519,62.0,11.624,4149.0,284.0,63.34,520.0,821.0,66.38,0.998,0.696,-0.302,64.71
88,0.0,0.0,0.0,21.0,Cameron Tringale,71.464,69.0,15.094,4773.0,278.2,58.29,545.0,935.0,64.01,-0.146,-0.157,-0.012,59.22
89,0.0,0.0,0.0,18.0,Jhonattan Vegas,71.078,61.0,11.357,3969.0,296.6,59.01,465.0,788.0,68.25,0.692,0.361,-0.331,59.69
90,0.0,1.0,0.0,18.0,Camilo Villegas,71.227,52.0,12.912,3406.0,286.0,52.83,355.0,672.0,61.92,-0.051,0.107,0.158,61.09
91,0.0,0.0,0.0,13.0,Mark Anderson,71.807,36.0,11.063,2574.0,278.6,61.03,307.0,503.0,64.51,-0.52,-0.411,0.109,60.0
92,0.0,1.0,0.0,18.0,Blayne Barber,71.287,55.0,-5.767,3784.0,289.5,61.52,454.0,738.0,66.35,-0.485,0.067,0.551,56.39
93,0.0,0.0,0.0,24.0,Zac Blair,71.039,80.0,26.025,5515.0,271.4,68.41,745.0,1089.0,64.6,-0.137,0.085,0.222,65.59
94,1.0,0.0,0.0,18.0,Jonas Blixt,71.278,56.0,16.437,3690.0,288.0,58.92,426.0,723.0,63.57,-0.495,-0.067,0.429,58.36
95,0.0,0.0,0.0,11.0,Angel Cabrera,72.247,31.0,-0.333,1951.0,286.3,60.58,229.0,378.0,61.93,-0.539,-0.181,0.358,52.43
96,0.0,0.0,0.0,19.0,Chad Collins,72.138,48.0,12.336,3306.0,279.1,56.32,361.0,641.0,57.61,-0.888,-0.712,0.175,63.53
97,0.0,0.0,0.0,19.0,Ben Crane,71.341,62.0,12.138,4197.0,275.1,67.27,553.0,822.0,64.78,-0.261,-0.415,-0.153,59.63
98,0.0,1.0,0.0,20.0,Bryson DeChambeau,71.579,53.0,24.524,3626.0,296.7,57.12,405.0,709.0,65.47,0.346,-0.449,-0.796,58.04
99,0.0,1.0,0.0,13.0,Luke Donald,70.848,38.0,0.513,2550.0,274.7,57.29,287.0,501.0,62.65,-0.562,0.303,0.865,61.16
100,0.0,0.0,0.0,14.0,Julian Etulain,71.706,46.0,12.649,2999.0,289.5,60.99,358.0,587.0,64.02,-0.704,-0.434,0.271,59.19
101,0.0,0.0,1.0,19.0,Derek Fathauer,71.519,58.0,9.073,3996.0,284.1,54.29,424.0,781.0,62.3,-0.612,-0.375,0.237,54.47
102,0.0,0.0,0.0,18.0,Martin Flores,71.479,54.0,20.447,3625.0,295.4,50.21,357.0,711.0,70.15,-0.853,-0.56,0.293,54.01
103,0.0,0.0,0.0,13.0,Jim Furyk,71.229,36.0,-9.437,2360.0,268.3,70.46,322.0,457.0,63.47,-0.19,-0.051,0.139,60.83
104,0.0,1.0,0.0,14.0,Retief Goosen,72.086,36.0,-1.26,2308.0,287.7,56.5,252.0,446.0,61.46,-0.283,-0.932,-0.649,59.91
105,0.0,0.0,0.0,14.0,Branden Grace,71.216,50.0,7.272,3055.0,290.0,58.09,352.0,606.0,67.57,0.402,0.317,-0.086,62.15
106,0.0,0.0,0.0,21.0,David Hearn,71.531,65.0,5.405,4358.0,278.6,65.49,556.0,849.0,62.75,-0.182,-0.344,-0.162,61.37
