,1st,2nd,3rd,Events,Name,Average Score,Rounds,Total Adjustment,Total Strokes,Average Drive,Driving Percentage,Fairways Hit,Possible Fairways,Greens Percentage,SG: Tee-to-Green,SG: Total,SG: Putting,Scrambling %
144,0.0,0.0,0.0,11.0,Steve Wheatcroft,71.641,32.0,2.518,2290.0,278.0,67.64,301.0,445.0,59.2,-0.734,0.044,0.779,66.81
145,0.0,0.0,0.0,0.0,Graeme McDowell,70.305,48.0,-13.357,3388.0,278.1,69.61,465.0,668.0,62.85,0.123,0.849,0.725,60.75
146,0.0,0.0,0.0,0.0,Matt Jones,70.607,44.0,3.296,2821.0,299.4,58.5,327.0,559.0,63.47,0.454,0.632,0.178,65.02
147,0.0,0.0,0.0,0.0,Seamus Power,70.811,57.0,20.617,3874.0,298.5,52.81,404.0,765.0,65.45,0.372,0.453,0.081,62.87
148,0.0,0.0,0.0,0.0,Shane Lowry,70.815,36.0,-9.096,2346.0,293.9,66.38,306.0,461.0,67.85,0.79,1.012,0.222,56.54
149,0.0,0.0,0.0,0.0,Ryan Blaum,70.995,73.0,23.637,4875.0,282.2,59.21,569.0,961.0,65.86,-0.287,0.062,0.349,60.61
150,0.0,0.0,0.0,0.0,Brandon Hagy,71.163,55.0,8.32,3621.0,310.0,50.49,360.0,713.0,63.51,0.263,0.286,0.023,62.09
151,0.0,0.0,0.0,0.0,Tim Wilkinson,71.191,44.0,18.656,2829.0,277.0,64.68,359.0,555.0,64.03,0.004,-0.034,-0.038,64.86
152,0.0,0.0,0.0,0.0,Andres Gonzales,71.248,54.0,26.907,3678.0,296.7,53.65,390.0,727.0,65.6,-0.327,-0.001,0.326,63.04
153,0.0,0.0,0.0,0.0,Ryan Brehm,71.256,55.0,23.561,3753.0,307.1,50.2,372.0,741.0,66.04,0.022,-0.074,-0.095,60.19
154,0.0,0.0,0.0,0.0,Ryan Armour,71.277,41.0,5.337,2917.0,274.1,69.81,400.0,573.0,68.43,0.082,-0.135,-0.217,58.8
155,0.0,0.0,0.0,0.0,David Lingmerth,71.329,49.0,4.795,3205.0,288.0,60.54,379.0,626.0,62.72,-0.229,0.196,0.425,57.95
156,0.0,0.0,0.0,0.0,Robert Garrigus,71.362,52.0,23.114,3545.0,298.2,57.27,398.0,695.0,69.33,0.24,-0.412,-0.652,54.35
157,0.0,0.0,0.0,0.0,Trey Mullinax,71.384,58.0,32.478,3965.0,305.4,52.11,407.0,781.0,64.19,-0.345,-0.292,0.054,55.96
158,0.0,0.0,0.0,0.0,Harold Varner III,71.391,69.0,10.191,4773.0,299.3,59.4,556.0,936.0,66.67,0.52,-0.041,-0.561,57.71
159,0.0,0.0,0.0,0.0,Vaughn Taylor,71.414,62.0,30.813,4254.0,279.5,65.95,556.0,843.0,66.11,-0.149,0.057,0.206,62.02
160,0.0,0.0,0.0,0.0,John Peterson,71.428,40.0,19.852,2623.0,285.9,65.25,338.0,518.0,66.67,-0.023,-0.594,-0.571,64.41
161,0.0,0.0,0.0,0.0,Ben Martin,71.469,61.0,6.201,4139.0,289.6,62.21,502.0,807.0,64.56,-0.102,-0.213,-0.111,56.76
162,0.0,0.0,0.0,0.0,Brian Stuard,71.5,79.0,20.488,5342.0,272.1,71.21,747.0,1049.0,63.19,-0.178,-0.127,0.051,60.56
163,0.0,0.0,0.0,0.0,Gonzalo Fdez-Castano,71.501,46.0,21.53,3053.0,290.4,52.08,313.0,601.0,61.76,-0.586,0.231,0.817,63.51
164,0.0,0.0,0.0,0.0,Tag Ridings,71.549,44.0,14.972,2847.0,300.0,55.46,310.0,559.0,65.42,-0.236,-0.197,0.039,57.43
165,0.0,0.0,0.0,0.0,Kyle Reifers,71.618,73.0,15.637,4926.0,286.4,64.24,618.0,962.0,65.7,0.065,-0.254,-0.318,59.62
166,0.0,0.0,0.0,0.0,Rory Sabbatini,71.626,43.0,16.683,2920.0,288.5,63.7,365.0,573.0,64.91,0.012,-0.644,-0.656,57.53
167,0.0,0.0,0.0,0.0,Jon Curran,71.652,35.0,33.824,2474.0,277.0,66.53,326.0,490.0,69.37,-0.229,-0.492,-0.263,56.99
168,0.0,0.0,0.0,0.0,Will MacKenzie,71.666,45.0,29.637,3052.0,281.5,63.73,383.0,601.0,66.15,-0.711,-0.939,-0.228,58.02
169,0.0,0.0,0.0,0.0,Sebastian Munoz,71.67,32.0,1.449,2292.0,291.5,54.36,243.0,447.0,61.28,-0.483,-0.084,0.399,59.64
170,0.0,0.0,0.0,0.0,Alex Cejka,71.706,62.0,14.972,4144.0,280.8,65.3,527.0,807.0,65.33,-0.093,-0.57,-0.478,62.98
171,0.0,0.0,0.0,0.0,Fabian Gomez,71.731,56.0,26.458,3847.0,285.2,61.84,470.0,760.0,65.02,-0.388,-0.418,-0.03,59.12
172,0.0,0.0,0.0,0.0,Steven Alker,71.796,48.0,18.624,3284.0,274.5,66.56,428.0,643.0,63.41,-0.301,-0.424,-0.122,61.72
173,0.0,0.0,0.0,0.0,Boo Weekley,71.817,59.0,12.582,4081.0,289.7,70.23,559.0,796.0,66.96,0.648,-0.612,-1.26,56.34
174,0.0,0.0,0.0,0.0,Troy Merritt,71.82,56.0,12.637,3722.0,286.4,57.79,419.0,725.0,63.89,-0.213,-0.342,-0.128,59.17
175,0.0,0.0,0.0,0.0,Bryce Molder,71.823,59.0,12.528,4225.0,278.0,57.59,474.0,823.0,61.68,-1.095,-0.759,0.336,58.97
176,0.0,0.0,0.0,0.0,Jason Bohn,71.845,59.0,20.152,4075.0,274.6,64.91,516.0,795.0,63.55,-0.727,-0.676,0.051,59.09
177,0.0,0.0,0.0,0.0,Ricky Barnes,71.853,70.0,10.277,4732.0,280.1,52.23,481.0,921.0,62.12,-0.711,-0.548,0.163,57.33
178,0.0,0.0,0.0,0.0,Bob Estes,71.856,30.0,2.69,2153.0,273.3,62.53,262.0,419.0,56.48,-0.821,-0.797,0.024,63.83
179,0.0,0.0,0.0,0.0,Brett Drewitt,71.904,37.0,12.464,2648.0,285.2,60.74,314.0,517.0,63.51,-0.549,-0.596,-0.047,61.32
180,0.0,0.0,0.0,0.0,Spencer Levin,72.014,66.0,28.879,4580.0,275.8,66.85,597.0,893.0,64.67,-0.752,-0.8,-0.049,59.95
181,0.0,0.0,0.0,0.0,Roberto Castro,72.022,52.0,-6.891,3608.0,278.9,67.1,469.0,699.0,64.89,0.082,-0.487,-0.569,57.91
182,0.0,0.0,0.0,0.0,Peter Malnati,72.035,60.0,21.004,4157.0,278.1,60.57,490.0,809.0,60.34,-0.948,-0.621,0.327,59.66
183,0.0,0.0,0.0,0.0,Steve Marino,72.038,39.0,28.391,2637.0,292.7,57.67,297.0,515.0,67.57,-0.802,-1.419,-0.618,56.94
184,0.0,0.0,0.0,0.0,Greg Chalmers,72.075,55.0,3.137,3961.0,277.8,56.68,437.0,771.0,59.29,-0.918,-0.646,0.271,58.81
185,0.0,0.0,0.0,0.0,Nicholas Lindheim,72.107,41.0,23.384,2933.0,286.0,54.62,313.0,573.0,65.18,-1.322,-1.085,0.238,59.14
186,0.0,0.0,0.0,0.0,Brad Fritsch,72.109,36.0,8.927,2587.0,284.4,54.27,273.0,503.0,62.65,-0.191,-0.678,-0.487,57.02
